roi_name,roi_labels
middletemporal,1015;2015
parahippocampal,1016;2016
paracentral,1017;2017
parsopercularis,1018;2018
parsorbitalis,1019;2019
parstriangularis,1020;2020
pericalcarine,1021;2021
postcentral,1022;2022
posteriorcingulate,1023;2023
precentral,1024;2024
precuneus,1025;2025
rostralanteriorcingulate,1026;2026
rostralmiddlefrontal,1027;2027
superiorfrontal,1028;2028
superiorparietal,1029;2029
superiortemporal,1030;2030
supramarginal,1031;2031
frontalpole,1032;2032
temporalpole,1033;2033
transversetemporal,1034;2034
insula,1035;2035
Cerebral-White-Matter,2;41
Lateral-Ventricle,4;43
Inf-Lat-Vent,5;44
Cerebellum-White-Matter,7;46
Cerebellum-Cortex,8;47
Thalamus-Proper,10;49
Caudate,11;50
Putamen,12;51
Pallidum,13;52
Hippocampus,17;53
Amygdala,18;54
Accumbens-area,26;58
VentralDC,28;60
choroid-plexus,31;63
3rd-Ventricle,14
4th-Ventricle,15
Brain-Stem,16
CSF,24
WM-hypointensities,77
Optic-Chiasm,85
CC_Posterior,251
CC_Mid_Posterior,252
CC_Central,253
CC_Mid_Anterior,254
CC_Anterior,255
ctx-lh-bankssts,1001
ctx-lh-caudalanteriorcingulate,1002
ctx-lh-caudalmiddlefrontal,1003
ctx-lh-cuneus,1005
ctx-lh-entorhinal,1006
ctx-lh-fusiform,1007
ctx-lh-inferiorparietal,1008
ctx-lh-inferiortemporal,1009
ctx-lh-isthmuscingulate,1010
ctx-lh-lateraloccipital,1011
ctx-lh-lateralorbitofrontal,1012
ctx-lh-lingual,1013
ctx-lh-medialorbitofrontal,1014
ctx-lh-middletemporal,1015
ctx-lh-parahippocampal,1016
ctx-lh-paracentral,1017
ctx-lh-parsopercularis,1018
ctx-lh-parsorbitalis,1019
ctx-lh-parstriangularis,1020
ctx-lh-pericalcarine,1021
ctx-lh-postcentral,1022
ctx-lh-posteriorcingulate,1023
ctx-lh-precentral,1024
ctx-lh-precuneus,1025
ctx-lh-rostralanteriorcingulate,1026
ctx-lh-rostralmiddlefrontal,1027
ctx-lh-superiorfrontal,1028
ctx-lh-superiorparietal,1029
ctx-lh-superiortemporal,1030
ctx-lh-supramarginal,1031
ctx-lh-frontalpole,1032
ctx-lh-temporalpole,1033
ctx-lh-transversetemporal,1034
ctx-lh-insula,1035
Left-Cerebral-White-Matter,2
Left-Lateral-Ventricle,4
Left-Inf-Lat-Vent,5
Left-Cerebellum-White-Matter,7
Left-Cerebellum-Cortex,8
Left-Thalamus-Proper,10
Left-Caudate,11
Left-Putamen,12
Left-Pallidum,13
Left-Hippocampus,17
Left-Amygdala,18
Left-Accumbens-area,26
Left-VentralDC,28
Left-choroid-plexus,31
ctx-rh-bankssts,2001
ctx-rh-caudalanteriorcingulate,2002
ctx-rh-caudalmiddlefrontal,2003
ctx-rh-cuneus,2005
ctx-rh-entorhinal,2006
ctx-rh-fusiform,2007
ctx-rh-inferiorparietal,2008
ctx-rh-inferiortemporal,2009
ctx-rh-isthmuscingulate,2010
ctx-rh-lateraloccipital,2011
ctx-rh-lateralorbitofrontal,2012
ctx-rh-lingual,2013
ctx-rh-medialorbitofrontal,2014
ctx-rh-middletemporal,2015
ctx-rh-parahippocampal,2016
ctx-rh-paracentral,2017
ctx-rh-parsopercularis,2018
ctx-rh-parsorbitalis,2019
ctx-rh-parstriangularis,2020
ctx-rh-pericalcarine,2021
ctx-rh-postcentral,2022
ctx-rh-posteriorcingulate,2023
ctx-rh-precentral,2024
ctx-rh-precuneus,2025
ctx-rh-rostralanteriorcingulate,2026
ctx-rh-rostralmiddlefrontal,2027
ctx-rh-superiorfrontal,2028
ctx-rh-superiorparietal,2029
ctx-rh-superiortemporal,2030
ctx-rh-supramarginal,2031
ctx-rh-frontalpole,2032
ctx-rh-temporalpole,2033
ctx-rh-transversetemporal,2034
ctx-rh-insula,2035
Right-Cerebral-White-Matter,41
Right-Lateral-Ventricle,43
Right-Inf-Lat-Vent,44
Right-Cerebellum-White-Matter,46
Right-Cerebellum-Cortex,47
Right-Thalamus-Proper,49
Right-Caudate,50
Right-Putamen,51
Right-Pallidum,52
Right-Hippocampus,53
Right-Amygdala,54
Right-Accumbens-area,58
Right-VentralDC,60
Right-choroid-plexus,63
